JobTitle,Location,Category,EducationLevel,EmploymentType,ExperienceLevel,Industry,ContracDuration,Shift,Compensation,JobType,PostedDate,JobDescription,JobURL
"School SLP-Moreno Valley, CA (25-26 School Year) $80/HR","Moreno Valley, California",Category: Education,,Contract - Full Time,,,Contract Duration: 36 Weeks,Work Setting: Schools,Est. Pay: $3000 / Week,,Posted Date: 7/27/2025,"LOOKING FOR AN SLP FOR THE 2025-2026 SCHOOL YEAR-IN MORENO VALLEY, CA!


**ESTIMATED START DATE: 8/14/2025****

$80/HR

CA-SLP LICENSE 
SCHOOL SETTING OR PEDIATRIC EXPERIENCE REQUIRED
37.50 HRS/WK (M-F)  

The Speech-Language Pathologist is responsible for the implementation of speech/language pathology services.

Essential Duties and Responsibilities:


Performs assessment(s) of patient’s communication, oral-motor integrity, cognitive status, memory and problem-solving abilities, hearing and speech fluency and quality
Assesses home environment (as appropriate) and identifies equipment needs relative to speech/language function
Identifies functional speech defects and establishes a plan of care in coordination with the physician to address speech, language, hearing and other functional disorders
Administers speech therapy program utilizing specialized therapeutic techniques and/or equipment
Instructs patient, caregiver, and other members of the health team regarding their roles in speech therapy
Recommends communication devices/aids as indicated
Recommends hearing tests by audiologist as necessary
Prepares and submits clinical progress summary notes based on the attainment of goals
Instructs patient, family/caregiver, and other health care personnel in the patient’s treatment regime as indicated
Performs other duties as required to facilitate the delivery of speech language pathology services
Identifies patient and family/caregiver needs for other services, and refers as appropriate
Complies with accepted professional standards and practices, and maintains clinical competency in speech language pathology practice and theory
Performs other duties as assigned/necessary

Minimum Requirements:


Meets the education and experience requirements for a Certificate of Clinical Competence in speech-language pathology
Must hold a degree from an accredited school of Speech-Language Pathology?
Current licensure or certification as a Speech Language Pathologist in the state of assignment?
One year of prior professional Speech Language Pathology experience preferred?
Complies with all relevant professional standards of practice 
Participation and completion of Amergis’ Competency program when applicable
Current CPR if applicable
TB Questionnaire, PPD or chest x-ray if applicable 
Current Health certificate (per contract or state regulation) 
Must meet all federal, state and local requirements 
Successful completion of new hire training as applicable to job site 
Understand patient confidentiality and HIPAA requirements  
Ability to effectively elicit/provide information to and from appropriate individuals (including, but not limited to, supervisors, co-workers, clients) via strong communication skills; proficiency in the English language is required  
Computer proficiency required
Must be at least 18 years of age  



General Comments 983395

Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/886214-school-slp-moreno-valley-ca-25-26-school-year-80-hr-moreno-valley-california/
Now Hiring. Special Education Instructional Aide II,"Mariposa, California",Category: Education,,Contract - Part Time,,,Contract Duration: 40 Weeks,Work Setting: Schools,Est. Pay: $660 / Week,,Posted Date: 7/16/2025,"Job Title: Special Education Aide II

?? Location: Mariposa County (Various job sites)?? Expected Start Date: August 18, 2025?? Full-Time | 6-6.5 hours per day

About the Role

Amergis Educational Staffing is seeking a dedicated and compassionate Special Education Aide II to support students with behavioral challenges in a school setting. Under the general supervision of a designated administrator, you will assist teachers by working independently with students or small groups to improve academic performance, social skills, and positive behaviors.
This role is ideal for individuals passionate about making a difference in students’ lives and who thrive in a collaborative, student-centered environment.

Key Responsibilities


Provide direct support to behaviorally challenged students.
Monitor, redirect, and modify student behavior and performance.
Develop and implement activities to enhance academic and social development.
Work independently to guide students in improving personal and non-academic skills.
Assist teachers with routine clerical and instructional duties as assigned.


Qualifications

Required:

High school diploma or equivalent (completion of 12th grade).
Must be No Child Left Behind (NCLB) Compliant:

Either an AA degree or higher, or
48+ college units (unofficial transcripts required), or
Passing score on the district’s Instructional Aide Eligibility Test.


Valid California Driver’s License.

Desirable:

Valid First Aid and CPR certification.


Why Join Amergis?


Supportive and inclusive work environment.
Opportunities for professional growth and development.
Make a meaningful impact in the lives of students every day.

?? Apply NowReady to make a difference? Submit your application today and help shape a brighter future for students in your community.

Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/884028-now-hiring-special-education-instructional-aide-ii-mariposa-california/
Classroom Aid (2025-2026 SY),"Pasadena, California",Category: Education,,Contract - Full Time,,,Contract Duration: 40 Weeks,Work Setting: Schools,Est. Pay: $19 / Hour,,Posted Date: 6/12/2025,"School Aide – Special Education Support  Pay Range: $18 – $21/hour
Pasadena USD is looking for compassionate and dedicated School Aides to support students in their academic and behavioral development. As a valued team member, you’ll work under the guidance of the special education department, assisting students who need instructional or behavioral support.
In this role, you’ll possibly provide essential services for students with mobility and personal care needs—following care plans established by health professionals, social workers, and rehabilitation specialists.
Qualifications:


Must be at least 18 years old


Meet all federal, state, and local requirements


Hold a current CPR certification (if applicable)


Complete required TB screenings and health certificates (as per contract or state regulations)


This is an opportunity to make a meaningful impact in students’ lives while working in a supportive and rewarding school environment. If you’re passionate about helping students thrive, we’d love to have you on our team!
Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/876793-classroom-aid-2025-2026-sy-pasadena-california/
Behavior Technician - 25/26 School Year,"Westfield, Indiana",Category: Education,,Contract - Full Time,,,Contract Duration: 36 Weeks,Work Setting: Schools,Est. Pay: $25 / Hour,,Posted Date: 7/29/2025,"The Behavior Technician works to facilitate educational andbehavioral services with children and adults with special needs andcollaborates with school professionals and other behavioral specialists toachieve learning and behavioral goals and objectives. 
Minimum Requirements:


High School diploma or equivalent required 
Two (2) years of pediatric experience preferred
Current CPR if applicable 
TB questionnaire, PPD or chest x-ray if applicable   
Must meet all federal, state and local requirements 
Must be at least 18 years of age



Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/886729-behavior-technician-25-26-school-year-westfield-indiana/
Occupational Therapist - School ST,"San  Diego, California",Category: Education,,Contract - Full Time,,,Contract Duration: 36 Weeks,Work Setting: Schools,Est. Pay: $53 / Hour,,Posted Date: 6/19/2025,"Amergis Staffing is currentlyseeking Occupational Therapist for the 2025/26  school year in the SanDiego, CA area.
 
Position Details:  Gradel Level:  TK-12,In-Person, OT License
 
Schedule: Monday – Friday
Hours/Week: 20-24 hours Weekly
Start Date: 8/19/2025
Length: 25/26 School Year
Details: Must have OT experience
Local Rate: $53/hour
 
 Feel free to contact me ifyou are interested. Email: Cebattle@amergis.comor Phone: (813) 462-3553
 
 Amergis Advantages
Weekly pay through directdeposit
We have offices in most majorcities across the country
Premium pay rates with taxadvantage compensation
Health/Dental/Vision Insuranceavailable on 1st of month
Fully furnished, private housingavailable (pets are welcomed)
Expense reimbursement for traveland state licensure available
Accessible via office phone,email, or text

Emergency, On-call line,available 24/7




The Occupational Therapist (OT) is responsible forperforming student evaluations, developing and providing therapy services, anddocumenting services in accordance with the plan of care developed for eachstudent.   
Minimum Requirements:


Current licensure as an Occupational Therapist in the Stateof practice
One (1) year of prior professional Occupational Therapyexperience preferred
Current CPR if applicable
TB Questionnaire, PPD or chest x-ray if applicable
Current Health certificate (per contract or stateregulation)
Must meet all federal, state and local requirements
Must be at least 18 years of age




Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/878382-occupational-therapist-school-st-san-diego-california/
Certified General Education Teacher,"Columbia, South Carolina",Category: Education,,Contract Duration: 37 Weeks,,,Contract Duration: 37 Weeks,Work Setting: Schools,Est. Pay: $1804 / Week,,Posted Date: 8/5/2025,"Amergis Educational Staffing is seeking Certified General Education Teacher’s in Columbia, SC for the 25′-26′ School Year! 

Looking for: Math, Science, English and Gen Ed Elementary

– Teaching Certification Required
– 25′-26′ School Year Contract | Start Date: 7/30/25– Full Time In-Person | M-F 37.5 Hrs.– Competitive Weekly Pay– Full Benefits and 401K Available– Travel package available if you qualify Apply today to have a recruiter contact you! Amergis Educational Services(843) 573-0772

The School Teacher implements the daily instructional plans of the classroom teacher in an effective manner. The School Teacher maintains a class environment favorable to learning and personal growth and establishes effective rapport with pupils while maintaining proper classroom management. The School Teacher works effectively with the building administrator and other teachers. 
Minimum Requirements: 


Bachelor’s Degree or higher required 
Teacher license/certification, as applicable by state or contract/district 
One year of experience as a school teacher, preferred  
TB Questionnaire, PPD or chest x-ray if applicable 
Current Health certificate (per contract or state regulation) 
Must meet all federal, state and local requirements 
Must be at least 18 years of age 



Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/888305-certified-general-education-teacher-columbia-south-carolina/
Paraprofessional- ASL,"Bartow, Florida",Category: Education,,Contract - Full Time,,,Contract Duration: 39 Weeks,Work Setting: Schools,Est. Pay: $20 / Hour,,Posted Date: 6/24/2025,"Paraprofessionals Needed in Polk County for the 25/26 School Year!
Requirements: 

• Sixty (60) or more college credit hours or an Associate’s degree or higher from an accredited school or a passing score on the Para Pro exam required.• Must be certified in American Sign Language.
Parapro screening completed & proof of ASL 


Hours: 37.5 hours/ week
The School Aide is an individual who works with studentsrequiring instructional, and/or behavioral assistance under the supervision ofthe special education department, teacher and/or supervising designee.  The School Aide may also provide supportservices to assist students with personal, physical mobility and therapeuticcare needs, as established by a rehabilitation health practitioner, socialworker or other health care professional. 
Minimum Requirements: 


High School diploma or equivalent required 
Comply with all relevant professional standards ofpractice  
Current CPR if applicable 
TB questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements   
Must be at least 18 years of age  



Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/879227-paraprofessional-asl-bartow-florida/
Speech Language Pathologist 25/26 School Year,"Kelso, Washington",Category: Education,,Contract - Full Time,,,Contract Duration: 36 Weeks,Work Setting: Schools,Est. Pay: $2625 / Week,,Posted Date: 6/11/2025,"The Speech-Language Pathologist in the school setting isresponsible for performing student evaluations as well as providing anddocumenting therapy services in accordance with the plan of care developed foreach individual student and the physician’s orders. 
Minimum Requirements:


Active Speech Language Pathologist (SLP) Licensure in thestate of assignment required 
Certificate of Clinical Competence in Speech-LanguagePathology (CCC-SLP) preferred and may be required by state/contract. 
Current CPR if applicable 
TB questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements 
Must be at least 18 years of age 


Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/876348-speech-language-pathologist-25-26-school-year-kelso-washington/
"School Aide - Federal Way, WA - $24/HR!!","Federal Way, Washington",Category: Education,,Contract - Part Time,,,Contract Duration: 36 Weeks,Work Setting: Schools,Est. Pay: $672 / Week,,Posted Date: 7/30/2025,"PositionDescription 
**************School Aide in Federal Way,WA************
$24 / HR 

Start: Fall     2025
Length:     Through the 25/26 school year and beyond!

Amergis offers thefollowing benefits:
·Medical, Dental, Vision, and Life Insurance 
·401k Program
·Competitive (weekly) Pay
·Flexible Scheduling 
·Direct Deposit 
·Travel Benefits (as applicable) 
Amergis Healthcare Services is aleading provider of home healthcare, medical-related staffing, travel nursing,and population health and wellness services across the Unites States. As anestablished community partner, we have been making a difference in the lives ofour employees, caregivers, and patients for more than 25 years. 
Our commitment to customer service, improving patientcare, and staffing experienced healthcare professionals has paved the way formany rewarding career opportunities in the healthcare industry. 

Forfurther information and/or to apply to this opportunity, apply here OR feelfree to contact Glenn Silvidi directly @ 919/325-2397 or by email at glsilvid@amergis.com!:)
The School Aide is an individual who works with studentsrequiring instructional, and/or behavioral assistance under the supervision ofthe special education department, teacher and/or supervising designee.  The School Aide may also provide supportservices to assist students with personal, physical mobility and therapeuticcare needs, as established by a rehabilitation health practitioner, socialworker or other health care professional. 
Minimum Requirements: 


High School diploma or equivalent required 
Comply with all relevant professional standards ofpractice  
Current CPR if applicable 
TB questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements   
Must be at least 18 years of age  



Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/887139-school-aide-federal-way-wa-24-hr-federal-way-washington/
"School SLPA - $41/hr, weekly pay","Orlando, Florida",Category: Education,,Contract - Full Time,,,Contract Duration: 39 Weeks,Work Setting: Schools,Est. Pay: $41 / Hour,,Posted Date: 8/1/2025,"The Speech Language Pathologist Assistant assists the SpeechLanguage Pathologist in providing speech and language services.  The Speech Language Pathologist Assistantwill have clinical, educational, documentation, and treatment relatedactivities while working within the scope of responsibilities/ plan of careassigned by the Speech Language Pathologist and/or physician.  
Minimum Requirements: 


Must be a graduate of a SLPA program with an associate’sdegree, or have a bachelor’s degree in a speech-language pathology orcommunication disorders program  
Successful completion of a minimum of 100 hours ofsupervised field work experience or its clinical experience equivalent asrequired by state and/or contract 
Current certification or licensure as a Speech-LanguagePathology Assistant in the State of Practice 
Complies with all relevant professional standards of practice  
One (1) year of prior professional Speech-Language PathologyAssistant experience preferred 
Complies with all relevant professional standards ofpractice  
TB questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or stateregulation)  
Must meet all federal, state and local requirements  
Must be at least 18 years of age



Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/887733-school-slpa-41-hr-weekly-pay-orlando-florida/
School Based Behavioral Technician Needed !!! 25'-26' School Year !!,"Alhambra, California",Category: Education,,Contract - Full Time,,,Contract Duration: 48 Weeks,Work Setting: Schools,Est. Pay: $23 / Hour,,Posted Date: 7/25/2025,"Company: Amergis Healthcare Staffing
Job Type: Full-Time
Pay Rate: $20 – $25 per hour
About Us:
 At Amergis, we prioritize quality, innovation, and servant leadership. We are committed to fostering an inclusive environment that celebrates diversity and empowers our team members to make a meaningful impact in the communities we serve. Our mission is to connect top professionals with healthcare and educational partners to ensure that patients and students receive the care they need.
Job Description:
 As a School Behavior Technician, you will play a crucial role in facilitating educational and behavioral services for children and adults with special needs. You will collaborate with school professionals and other behavioral specialists to achieve learning and behavioral goals and objectives. Your work will be guided by Amergis’ core values of servant leadership, innovation, and commitment to quality.
Essential Duties and Responsibilities:

Implement behavior management techniques, including prevention, intervention, and consequence strategies.
Provide crisis intervention and support.
Review and implement behavior intervention plans.
Assist in facilitating academic instruction and development plans for speech-language pathology (SLP), occupational therapy (OT), and physical therapy (PT).
Document sessions per policies and procedures.
Collect behavioral and academic data accurately and efficiently.
Support students in developing independent daily living skills, such as toileting, clothing routines, and personal hygiene.
Assist students across various environments (classroom, playground, lunchroom, gym, sensory room, library, etc.).
Perform other duties as assigned.

Minimum Requirements:

High school diploma or equivalent.
Two years of pediatric experience preferred.
Compliance with all relevant professional standards of practice.
Participation and completion of Amergis’ Competency program.
Current CPR certification, TB questionnaire, PPD or chest x-ray, and health certificate as required.

Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/886175-school-based-behavioral-technician-needed-25-26-school-year-alhambra-california/
School Social Worker - Part Time,"Oswego, Illinois",Category: Education,,Contract - Part Time,,,Contract Duration: 39 Weeks,Work Setting: Schools,Est. Pay: $900 / Week,,Posted Date: 7/30/2025,"The Social Worker collaborates with the multidisciplinary team and provides input in the development of the IHP/IEP for students requiring social work intervention and support in the school setting.   
Minimum Requirements:  


Holds a Professional Educator License with School Social Worker (SSW) endorsement as required by state, contract and/or facility 
May be required to have MSW or LCSW per state, contract or facility 
Complies with all relevant professional standards of practice  
Current CPR if applicable  
TB questionnaire, PPD or chest x-ray if applicable  
Current Health certificate (per contract or state regulation)  
Must meet all federal, state and local requirements  
Must be at least 18 years of age  



Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/887073-school-social-worker-part-time-oswego-illinois/
Behavior Technician - Schools - Manatee County - 25-26 School Year,"Tampa Bay, Florida",Category: Education,,Contract - Full Time,,,Contract Duration: 39 Weeks,Work Setting: Schools,Est. Pay: $23 / Hour,,Posted Date: 4/28/2025,"Behavior Technicians Needed in Manatee County for the 2025-2026 School Year!
The Behavior Technician works to facilitate educational andbehavioral services with children and adults with special needs andcollaborates with school professionals and other behavioral specialists toachieve learning and behavioral goals and objectives. 
Minimum Requirements:


High School diploma or equivalent required 
Two (2) years of pediatric experience preferred
Current CPR if applicable 
TB questionnaire, PPD or chest x-ray if applicable   
Must meet all federal, state and local requirements 
Must be at least 18 years of age



Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/867838-behavior-technician-schools-manatee-county-25-26-school-year-tampa-bay-florida/
School Behavior Technician - Weekly Pay!,"Pasadena, California",Category: Education,,Contract - Full Time,,,Contract Duration: 52 Weeks,Work Setting: Schools,Est. Pay: $22 / Hour,,Posted Date: 7/1/2025,"The Behavior Technician works to facilitate educational andbehavioral services with children and adults with special needs andcollaborates with school professionals and other behavioral specialists toachieve learning and behavioral goals and objectives.
If interested, please contact Rahel Gebre (213) 513-3143 or email your resume in response to this post at ragebre@amergis.com
 ASAP START, WEEKLY PAY, AND ABA EXPERIENCE REQUIRED! PAY $24+ DOE
Minimum Requirements:


High School diploma or equivalent required 
Two (2) years of pediatric experience preferred
Current CPR if applicable 
TB questionnaire, PPD or chest x-ray if applicable   
Must meet all federal, state and local requirements 
Must be at least 18 years of age



Benefits
At Amergis, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:


Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs 

*Benefit eligibility is dependent on employment status. 
												
About Amergis
Amergis, formerly known as Maxim Healthcare Staffing, has served our clients and communities by connecting people to the work that matters since 1988. We provide meaningful opportunities to our extensive network of healthcare and school-based professionals, ready to work in any hospital, government facility, or school. Through partnership and innovation, Amergis creates unmatched staffing experiences to deliver the best workforce solutions.  
						
Amergis is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.",https://careers.amergis.com/job/880828-school-behavior-technician-weekly-pay-pasadena-california/
